ClientID,ClientName,PriorityLevel,RequestedTaskIDs,GroupTag,AttributesJSON
C001,TechCorp Solutions,5,"T001,T002,T003",Enterprise,"{""budget"": 50000, ""deadline"": ""2024-06-01"", ""department"": ""IT""}"
C002,StartupInnovate,3,"T004,T005",SMB,"{""budget"": 15000, ""industry"": ""Fintech"", ""team_size"": 12}"
C003,Global Manufacturing,4,"T002,T006,T007,T008",Enterprise,"{""budget"": 75000, ""locations"": [""US"", ""EU"", ""APAC""], ""priority_projects"": [""Digital Transformation""]}"
C004,Local Retail Chain,2,"T009,T010",Local,"{""budget"": 8000, ""stores"": 5, ""seasonal_peak"": ""Q4""}"
C005,HealthTech Pioneer,5,"T001,T011,T012",Healthcare,"{""budget"": 100000, ""compliance"": ""HIPAA"", ""urgent"": true}"
C006,EduTech Platform,3,"T013,T014,T015",Education,"{""budget"": 25000, ""students"": 50000, ""platform"": ""web""}"
C007,Financial Services,4,"T016,T017,T018",Financial,"{""budget"": 80000, ""regulations"": [""SOX"", ""GDPR""], ""risk_level"": ""high""}"
C008,Gaming Studio,2,"T019,T020",Entertainment,"{""budget"": 30000, ""platform"": ""mobile"", ""genre"": ""RPG""}"
C009,AgriTech Innovator,3,"T021,T022,T023",Agriculture,"{""budget"": 20000, ""focus"": ""IoT sensors"", ""region"": ""midwest""}"
C010,ConsultancyPro,4,"T024,T025",Professional,"{""budget"": 45000, ""specialization"": ""Strategy"", ""clients"": 150}"
C011,Invalid Priority,8,"T001,T002",Enterprise,"{""budget"": 60000, ""note"": ""This has invalid priority level""}"
C012,Missing Tasks,3,"T999,T998",SMB,"{""budget"": 12000, ""note"": ""References non-existent tasks""}"
C013,Duplicate Test,3,"T001,T002",Enterprise,"{""budget"": 35000, ""duplicate_check"": true}"
C013,Duplicate Test 2,4,"T003,T004",Enterprise,"{""budget"": 40000, ""duplicate_id"": ""same as above""}"
C014,Malformed JSON,2,"T005,T006",Local,"{""budget"": 10000, ""incomplete"": ""json""}"
C015,Empty Requests,3,"",SMB,"{""budget"": 15000, ""note"": ""No requested tasks""}" 
